Alcanna Inc. | CLIQ | Volume: 52304 | Value: 9.28 | Open: 9.70 | High: 9.70 | SharesOut.: 37047306 | Beta: 0.382 | Prev.Close: 9.50 | Low: 9.26 | MarketCap: 343799000 | VWAP: 9.386152 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.990000 | Yield: 3.879 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.202 | Exchange: TSX | 
Cervus Equipment Corporation | CERV | Volume: 6020 | Value: 14.27 | Open: 14.40 | High: 14.40 | SharesOut.: 15687616 | Beta: 0.800 | Prev.Close: 14.40 | Low: 14.19 | MarketCap: 223862280 | VWAP: 14.302288 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 10.600 | EPS: 1.360000 | Yield: 2.803 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.993 | Exchange: TSX | 
CES Energy Solutions Corp. | CEU | Volume: 883371 | Value: 4.65 | Open: 4.61 | High: 4.79 | SharesOut.: 268186629 | Beta: 2.183 | Prev.Close: 4.55 | Low: 4.61 | MarketCap: 1247067825 | VWAP: 4.691982 | Dividend: 0.005CAD | Div.Frequency: Monthly | P/ERatio: 30.300 | EPS: 0.14 | Yield: 1.290 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.979 | Exchange: TSX | 
CGI Group Inc. | GIB.A | Volume: 526572 | Value: 82.59 | Open: 83.08 | High: 83.19 | SharesOut.: 253193402 | Beta: 0.545 | Prev.Close: 82.80 | Low: 82.11 | MarketCap: 20911243071 | VWAP: 82.578443 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 22.900 | EPS: 3.600000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.599 | Exchange: TSX | 
Chalice Gold Mines Limited | CXN | Volume: 37000 | Value: 0.14 | Open: 0.14 | High: 0.14 | SharesOut.: 261112870 | Beta: 2.004 | Prev.Close: 0.14 | Low: 0.14 | MarketCap: 36555802 | VWAP: 0.14 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.778 | Exchange: TSX | 
Champion Iron Limited | CIA | Volume: 141178 | Value: 1.28 | Open: 1.27 | High: 1.31 | SharesOut.: 412117847 | Beta: 2.583 | Prev.Close: 1.26 | Low: 1.27 | MarketCap: 527510844 | VWAP: 1.281106 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.160000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Chartwell Retirement Residences | CSH.UN | Volume: 224461 | Value: 15.23 | Open: 15.22 | High: 15.25 | SharesOut.: 211167785 | Beta: 0.315 | Prev.Close: 15.25 | Low: 15.18 | MarketCap: 3216085366 | VWAP: 15.212083 | Dividend: 0.049CAD | Div.Frequency: Monthly | P/ERatio: 96.500 | EPS: N/A | Yield: 3.861 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.193 | Exchange: TSX | 
Chemtrade Logistics Income Fund | CHE.DB.B | Volume: 33000 | Value: 100.75 | Open: 100.50 | High: 101.00 | SharesOut.: 1265000 | Beta: 0.362 | Prev.Close: 100.50 | Low: 100.50 | MarketCap: 127448750 | VWAP: 100.766666 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Chesswood Group Limited | CHW | Volume: 15207 | Value: 11.01 | Open: 10.89 | High: 11.11 | SharesOut.: 16523305 | Beta: 0.931 | Prev.Close: 11.11 | Low: 10.88 | MarketCap: 181921588 | VWAP: 11.013221 | Dividend: 0.070CAD | Div.Frequency: Monthly | P/ERatio: 7.500 | EPS: 1.480000 | Yield: 7.629 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.255 | Exchange: TSX | 
China Gold International Resources Corp. Ltd. | CGG | Volume: 356581 | Value: 2.22 | Open: 2.26 | High: 2.26 | SharesOut.: 396413753 | Beta: 0.165 | Prev.Close: 2.30 | Low: 2.20 | MarketCap: 880038532 | VWAP: 2.228466 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 12.200 | EPS: 0.210000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.437 | Exchange: TSX | 
Chinook Energy Inc. | CKE | Volume: 28110 | Value: 0.20 | Open: 0.21 | High: 0.21 | SharesOut.: 223564601 | Beta: 2.709 | Prev.Close: 0.20 | Low: 0.20 | MarketCap: 44712920 | VWAP: 0.200357 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.080000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.541 | Exchange: TSX | 
Choice Properties Real Estate Investment Trust | CHP.UN | Volume: 276548 | Value: 12.12 | Open: 12.20 | High: 12.22 | SharesOut.: 277263195 | Beta: 0.467 | Prev.Close: 12.18 | Low: 12.09 | MarketCap: 3360429923 | VWAP: 12.140818 | Dividend: 0.062CAD | Div.Frequency: Monthly | P/ERatio: 1.100 | EPS: N/A | Yield: 6.106 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.184 | Exchange: TSX | 
Chorus Aviation Inc. | CHR | Volume: 457343 | Value: 7.16 | Open: 7.40 | High: 7.44 | SharesOut.: 138745854 | Beta: 0.925 | Prev.Close: 7.34 | Low: 7.13 | MarketCap: 993420315 | VWAP: 7.219267 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: 6.300 | EPS: 1.170000 | Yield: 6.704 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.512 | Exchange: TSX | 
CI Financial Corp. | CIX | Volume: 498850 | Value: 23.88 | Open: 24.18 | High: 24.19 | SharesOut.: 264515775 | Beta: 0.718 | Prev.Close: 24.14 | Low: 23.88 | MarketCap: 6316636707 | VWAP: 23.940234 | Dividend: 0.118CAD | Div.Frequency: Monthly | P/ERatio: 12.200 | EPS: 1.890000 | Yield: 5.905 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.456 | Exchange: TSX | 
CIBT Education Group Inc. | MBA | Volume: 0 | Value: 0.75 | Open: N/A | High: N/A | SharesOut.: 78878540 | Beta: -0.003 | Prev.Close: 0.75 | Low: N/A | MarketCap: 59158905 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.786 | Exchange: TSX | 
Cineplex Inc. | CGX | Volume: 181187 | Value: 29.54 | Open: 30.45 | High: 30.45 | SharesOut.: 63332946 | Beta: 0.511 | Prev.Close: 30.40 | Low: 29.41 | MarketCap: 1870855225 | VWAP: 29.705251 | Dividend: 0.145CAD | Div.Frequency: Monthly | P/ERatio: 31.000 | EPS: 0.980000 | Yield: 5.890 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.673 | Exchange: TSX | 
Cipher Pharmaceuticals Inc. | CPH | Volume: 62338 | Value: 2.93 | Open: 2.92 | High: 2.94 | SharesOut.: 26721114 | Beta: 1.737 | Prev.Close: 2.96 | Low: 2.81 | MarketCap: 78292864 | VWAP: 2.872588 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 9.800 | EPS: 0.220000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.640 | Exchange: TSX | 
Citadel Income Fund | CTF.UN | Volume: 3700 | Value: 3.35 | Open: 3.35 | High: 3.35 | SharesOut.: 16778253 | Beta: 0.850 | Prev.Close: 3.37 | Low: 3.35 | MarketCap: 56207148 | VWAP: 3.35 | Dividend: 0.010CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.200000 | Yield: 3.582 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Clairvest Group Inc. | CVG | Volume: 1540 | Value: 47.01 | Open: 47.01 | High: 47.01 | SharesOut.: 15213551 | Beta: 0.192 | Prev.Close: 48.00 | Low: 47.00 | MarketCap: 715189033 | VWAP: 47.002667 | Dividend: 0.362CAD | Div.Frequency: Annual | P/ERatio: 6.000 | EPS: 5.200000 | Yield: 0.213 | Ex-DivDate: 07/04/2017 | P/BRatio: 1.099 | Exchange: TSX | 
Clarke Inc. | CKI | Volume: 9900 | Value: 12.07 | Open: 12.34 | High: 12.35 | SharesOut.: 12550288 | Beta: 0.862 | Prev.Close: 12.25 | Low: 12.03 | MarketCap: 151481976 | VWAP: 12.066162 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 104.400 | EPS: 0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.096 | Exchange: TSX | 
Clean TeQ Holdings Limited | CLQ | Volume: 41700 | Value: 0.78 | Open: 0.72 | High: 0.78 | SharesOut.: 590492687 | Beta: 2.484 | Prev.Close: 0.78 | Low: 0.72 | MarketCap: 460584296 | VWAP: 0.750843 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 5.571 | Exchange: TSX | 
ClearStream Energy Services Inc. | CSM | Volume: 15000 | Value: 0.065 | Open: 0.06 | High: 0.065 | SharesOut.: 109941241 | Beta: 1.999 | Prev.Close: 0.065 | Low: 0.06 | MarketCap: 7146181 | VWAP: 0.064333 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.330000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -0.054 | Exchange: TSX | 
Clearwater Seafoods Incorporated | CLR | Volume: 51112 | Value: 5.00 | Open: 5.09 | High: 5.11 | SharesOut.: 65356833 | Beta: 0.496 | Prev.Close: 5.04 | Low: 4.99 | MarketCap: 326784165 | VWAP: 5.032876 | Dividend: 0.050CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 0.00 | Yield: 4.000 | Ex-DivDate: 05/17/2018 | P/BRatio: 2.000 | Exchange: TSX | 
CNOOC Limited | CNU | Volume: 100 | Value: 225.00 | Open: 225.00 | High: 225.00 | SharesOut.: 10080862 | Beta: 1.622 | Prev.Close: 213.17 | Low: 225.00 | MarketCap: 2268193950 | VWAP: 225.00 | Dividend: 2.285USD | Div.Frequency: Semi-Annual | P/ERatio: N/A | EPS: N/A | Yield: 2.485 | Ex-DivDate: 09/06/2017 | P/BRatio: 1.270 | Exchange: TSX | 
Co-operators General Insurance Company | CCS.PR.C | Volume: 0 | Value: 23.25 | Open: N/A | High: N/A | SharesOut.: 4000000 | Beta: 0.442 | Prev.Close: 23.25 | Low: N/A | MarketCap: 93000000 | VWAP: N/A | Dividend: 0.313CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 5.376 | Ex-DivDate: 05/31/2018 | P/BRatio: N/A | Exchange: TSX | 
Cogeco Communications Inc. | CCA | Volume: 112197 | Value: 65.45 | Open: 66.50 | High: 66.65 | SharesOut.: 33871754 | Beta: 0.655 | Prev.Close: 66.39 | Low: 64.94 | MarketCap: 2216906299 | VWAP: 65.522776 | Dividend: 0.475CAD | Div.Frequency: Quarterly | P/ERatio: 9.000 | EPS: 7.360000 | Yield: 2.903 | Ex-DivDate: 04/25/2018 | P/BRatio: 1.735 | Exchange: TSX | 
Cogeco Inc. | CGO | Volume: 20228 | Value: 58.86 | Open: 59.84 | High: 59.91 | SharesOut.: 14690897 | Beta: 0.692 | Prev.Close: 59.88 | Low: 58.86 | MarketCap: 864706197 | VWAP: 59.194899 | Dividend: 0.390CAD | Div.Frequency: Quarterly | P/ERatio: 7.700 | EPS: 7.770000 | Yield: 2.650 | Ex-DivDate: 04/25/2018 | P/BRatio: 1.460 | Exchange: TSX | 
Colabor Group Inc. | GCL | Volume: 43165 | Value: 0.495 | Open: 0.485 | High: 0.495 | SharesOut.: 101177932 | Beta: 1.830 | Prev.Close: 0.49 | Low: 0.48 | MarketCap: 50083076 | VWAP: 0.485706 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.190000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.544 | Exchange: TSX | 
Colliers International Group Inc. | CIGI | Volume: 87371 | Value: 98.46 | Open: 98.22 | High: 98.61 | SharesOut.: 37817967 | Beta: N/A | Prev.Close: 97.95 | Low: 97.59 | MarketCap: 3723557031 | VWAP: 98.327260 | Dividend: 0.050USD | Div.Frequency: Semi-Annual | P/ERatio: 55.000 | EPS: 1.75 | Yield: 0.131 | Ex-DivDate: 06/28/2018 | P/BRatio: 9.176 | Exchange: TSX | 
Columbus Gold Corp. | CGT | Volume: 38800 | Value: 0.25 | Open: 0.245 | High: 0.25 | SharesOut.: 158769132 | Beta: 2.653 | Prev.Close: 0.25 | Low: 0.24 | MarketCap: 39692283 | VWAP: 0.247143 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 4.500 | EPS: 0.07 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.862 | Exchange: TSX | 
Cominar Real Estate Investment Trust | CUF.UN | Volume: 245071 | Value: 12.78 | Open: 12.84 | High: 12.90 | SharesOut.: 181939539 | Beta: 0.635 | Prev.Close: 12.88 | Low: 12.745 | MarketCap: 2325187308 | VWAP: 12.790663 | Dividend: 0.060CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -2.300000 | Yield: 5.634 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.737 | Exchange: TSX | 
Commerce Split Corp. | YCM | Volume: 0 | Value: 1.72 | Open: N/A | High: N/A | SharesOut.: 1652361 | Beta: 4.127 | Prev.Close: 1.72 | Low: N/A | MarketCap: 2842061 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 2.100 | EPS: -1.360000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.702 | Exchange: TSX | 
Computer Modelling Group Ltd. | CMG | Volume: 99267 | Value: 10.25 | Open: 10.01 | High: 10.28 | SharesOut.: 80214678 | Beta: 1.481 | Prev.Close: 10.00 | Low: 10.00 | MarketCap: 822200450 | VWAP: 10.214493 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 38.500 | EPS: 0.260000 | Yield: 3.902 | Ex-DivDate: 06/06/2018 | P/BRatio: 14.855 | Exchange: TSX | 
Concordia International Corp. | CXR | Volume: 61032 | Value: 0.27 | Open: 0.275 | High: 0.285 | SharesOut.: 51283800 | Beta: -0.740 | Prev.Close: 0.27 | Low: 0.27 | MarketCap: 13846626 | VWAP: 0.276737 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -40.389999 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -0.005 | Exchange: TSX | 
Condor Gold plc | COG | Volume: 0 | Value: 0.55 | Open: N/A | High: N/A | SharesOut.: 67179335 | Beta: -0.386 | Prev.Close: 0.55 | Low: N/A | MarketCap: 36948634 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.160000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.982 | Exchange: TSX | 
Condor Petroleum Inc. | CPI | Volume: 160588 | Value: 0.53 | Open: 0.52 | High: 0.61 | SharesOut.: 43265100 | Beta: 0.291 | Prev.Close: 0.60 | Low: 0.52 | MarketCap: 22930503 | VWAP: 0.560844 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.540000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.411 | Exchange: TSX | 
Conifex Timber Inc. | CFF | Volume: 79400 | Value: 5.86 | Open: 5.79 | High: 5.92 | SharesOut.: 26438008 | Beta: 1.185 | Prev.Close: 5.76 | Low: 5.79 | MarketCap: 154926727 | VWAP: 5.857544 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 7.200 | EPS: 0.670000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.730 | Exchange: TSX | 
Constellation Software Inc. | CSU | Volume: 44195 | Value: 1,021.79 | Open: 1025.69 | High: 1030.28 | SharesOut.: 21191530 | Beta: 0.289 | Prev.Close: 1027.07 | Low: 1014.675 | MarketCap: 21653293439 | VWAP: 1021.4066 | Dividend: 1.000USD | Div.Frequency: Quarterly | P/ERatio: 64.300 | EPS: 16.00 | Yield: 0.502 | Ex-DivDate: 06/14/2018 | P/BRatio: 25.519 | Exchange: TSX | 
Continental Gold Inc. | CNL | Volume: 429797 | Value: 3.77 | Open: 3.63 | High: 3.77 | SharesOut.: 188306821 | Beta: 3.016 | Prev.Close: 3.64 | Low: 3.63 | MarketCap: 709916715 | VWAP: 3.729767 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.07 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.428 | Exchange: TSX | 
Copper Mountain Mining Corporation | CMMC | Volume: 212676 | Value: 1.26 | Open: 1.32 | High: 1.32 | SharesOut.: 185927411 | Beta: 4.525 | Prev.Close: 1.32 | Low: 1.26 | MarketCap: 234268538 | VWAP: 1.283112 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 4.700 | EPS: 0.280000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.312 | Exchange: TSX | 
Corby Spirit and Wine Limited | CSW.A | Volume: 7445 | Value: 20.48 | Open: 20.35 | High: 20.48 | SharesOut.: 24274320 | Beta: 0.622 | Prev.Close: 20.31 | Low: 20.30 | MarketCap: 497138074 | VWAP: 20.347671 | Dividend: 0.220CAD | Div.Frequency: Quarterly | P/ERatio: 23.100 | EPS: 0.880000 | Yield: 4.297 | Ex-DivDate: 05/24/2018 | P/BRatio: 3.314 | Exchange: TSX | 
Core Canadian Dividend Trust | CDD.UN | Volume: 0 | Value: 6.05 | Open: N/A | High: N/A | SharesOut.: 546158 | Beta: 0.981 | Prev.Close: 6.05 | Low: N/A | MarketCap: 3304256 | VWAP: N/A | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: 20.100 | EPS: 0.300000 | Yield: 6.553 | Ex-DivDate: 06/14/2018 | P/BRatio: 0.896 | Exchange: TSX | 
Coro Mining Corp. | COP | Volume: 162395 | Value: 0.10 | Open: 0.105 | High: 0.105 | SharesOut.: 651929511 | Beta: 6.728 | Prev.Close: 0.105 | Low: 0.10 | MarketCap: 65192951 | VWAP: 0.104690 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.000 | Exchange: TSX | 
Correvio Pharma Corp. | CORV | Volume: 5050 | Value: 5.11 | Open: 5.16 | High: 5.20 | SharesOut.: 34639127 | Beta: -0.751 | Prev.Close: 5.15 | Low: 4.98 | MarketCap: 177005939 | VWAP: 5.0898 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.170000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 14.600 | Exchange: TSX | 
Corridor Resources Inc. | CDH | Volume: 35500 | Value: 0.63 | Open: 0.66 | High: 0.68 | SharesOut.: 88655299 | Beta: 1.812 | Prev.Close: 0.63 | Low: 0.63 | MarketCap: 55852838 | VWAP: 0.644225 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 2.600 | EPS: 0.190000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.477 | Exchange: TSX | 
Corus Entertainment Inc. | CJR.B | Volume: 5547166 | Value: 5.13 | Open: 5.60 | High: 5.67 | SharesOut.: 204641106 | Beta: 0.911 | Prev.Close: 6.25 | Low: 4.96 | MarketCap: 1049808874 | VWAP: 5.294351 | Dividend: 0.095CAD | Div.Frequency: Monthly | P/ERatio: 6.000 | EPS: 1.040000 | Yield: 22.222 | Ex-DivDate: 07/13/2018 | P/BRatio: 0.433 | Exchange: TSX | 
Corvus Gold Inc. | KOR | Volume: 1506645 | Value: 2.22 | Open: 2.10 | High: 2.30 | SharesOut.: 105985945 | Beta: 3.393 | Prev.Close: 2.12 | Low: 2.00 | MarketCap: 235288798 | VWAP: 2.065332 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.090000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 24.667 | Exchange: TSX | 
Cott Corporation | BCB | Volume: 162710 | Value: 21.94 | Open: 22.13 | High: 22.17 | SharesOut.: 140159714 | Beta: 0.619 | Prev.Close: 22.08 | Low: 21.83 | MarketCap: 3075104125 | VWAP: 21.962415 | Dividend: 0.060USD | Div.Frequency: Quarterly | P/ERatio: 6.100 | EPS: -0.010000 | Yield: 1.396 | Ex-DivDate: 11/27/2017 | P/BRatio: 1.830 | Exchange: TSX | 
CounterPath Corporation | PATH | Volume: 0 | Value: 3.00 | Open: N/A | High: N/A | SharesOut.: 5935872 | Beta: -0.345 | Prev.Close: 3.00 | Low: N/A | MarketCap: 17807616 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.650000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.310 | Exchange: TSX | 
CPI Card Group Inc. | PMTS | Volume: 300 | Value: 3.01 | Open: 3.01 | High: 3.01 | SharesOut.: 11134714 | Beta: 0.174 | Prev.Close: 2.99 | Low: 3.01 | MarketCap: 33515489 | VWAP: 3.01 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Crescent Point Energy Corp. | CPG | Volume: 3347799 | Value: 9.83 | Open: 9.80 | High: 10.01 | SharesOut.: 549282124 | Beta: 2.471 | Prev.Close: 9.63 | Low: 9.79 | MarketCap: 5399443279 | VWAP: 9.912742 | Dividend: 0.030CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.620000 | Yield: 3.662 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.593 | Exchange: TSX | 
Crescita Therapeutics Inc. | CTX | Volume: 500 | Value: 0.69 | Open: 0.69 | High: 0.69 | SharesOut.: 21004809 | Beta: 3.391 | Prev.Close: 0.73 | Low: 0.69 | MarketCap: 14493318 | VWAP: 0.69 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.620000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.896 | Exchange: TSX | 
Crew Energy Inc. | CR | Volume: 1446104 | Value: 2.05 | Open: 2.04 | High: 2.11 | SharesOut.: 151707869 | Beta: 3.540 | Prev.Close: 1.99 | Low: 2.02 | MarketCap: 311001131 | VWAP: 2.057564 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 10.000 | EPS: 0.230000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.355 | Exchange: TSX | 
CRH Medical Corporation | CRH | Volume: 124443 | Value: 4.19 | Open: 4.36 | High: 4.36 | SharesOut.: 72865988 | Beta: 1.189 | Prev.Close: 4.36 | Low: 4.19 | MarketCap: 305308490 | VWAP: 4.270446 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 39.200 | EPS: 0.110000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.299 | Exchange: TSX | 
Critical Control Energy Services Corp. | CCZ | Volume: 15000 | Value: 0.175 | Open: 0.175 | High: 0.175 | SharesOut.: 44060110 | Beta: 1.019 | Prev.Close: 0.18 | Low: 0.175 | MarketCap: 7710519 | VWAP: 0.175 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.417 | Exchange: TSX | 
Crius Energy Trust | KWH.UN | Volume: 87793 | Value: 7.30 | Open: 7.26 | High: 7.30 | SharesOut.: 57030067 | Beta: 0.389 | Prev.Close: 7.23 | Low: 7.25 | MarketCap: 416319489 | VWAP: 7.270241 | Dividend: 0.070CAD | Div.Frequency: Monthly | P/ERatio: 6.300 | EPS: 0.550000 | Yield: 11.458 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.225 | Exchange: TSX | 
Crombie Real Estate Investment Trust | CRR.DB.E | Volume: 312000 | Value: 102.00 | Open: 102.00 | High: 102.51 | SharesOut.: 744000 | Beta: 0.144 | Prev.Close: 102.10 | Low: 102.00 | MarketCap: 75888000 | VWAP: 102.044903 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Cronos Group Inc. | CRON | Volume: 775121 | Value: 8.22 | Open: 8.83 | High: 8.93 | SharesOut.: 176204047 | Beta: 4.020 | Prev.Close: 9.04 | Low: 8.15 | MarketCap: 1448397266 | VWAP: 8.523608 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 500.900 | EPS: 0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 16.776 | Exchange: TSX | 
Crosswinds Holdings Inc. | CWI | Volume: 500 | Value: 2.01 | Open: 2.01 | High: 2.01 | SharesOut.: 9176299 | Beta: -1.485 | Prev.Close: 2.01 | Low: 2.01 | MarketCap: 18444361 | VWAP: 2.010000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.380000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.889 | Exchange: TSX | 
Crown Capital Partners Inc. | CRWN | Volume: 13096 | Value: 10.22 | Open: 10.22 | High: 10.22 | SharesOut.: 9468409 | Beta: 0.265 | Prev.Close: 10.22 | Low: 10.14 | MarketCap: 96767140 | VWAP: 10.219385 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 16.500 | EPS: 0.710000 | Yield: 5.871 | Ex-DivDate: 05/17/2018 | P/BRatio: 0.939 | Exchange: TSX | 
CT Real Estate Investment Trust | CRT.UN | Volume: 20021 | Value: 12.99 | Open: 12.99 | High: 13.00 | SharesOut.: 90645295 | Beta: 0.420 | Prev.Close: 13.00 | Low: 12.95 | MarketCap: 1177482382 | VWAP: 12.970152 | Dividend: 0.061CAD | Div.Frequency: Monthly | P/ERatio: 8.800 | EPS: 1.480000 | Yield: 5.605 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.345 | Exchange: TSX | 
CU Inc. | CIU.PR.A | Volume: 0 | Value: 21.36 | Open: N/A | High: N/A | SharesOut.: 4600000 | Beta: 0.636 | Prev.Close: 21.36 | Low: N/A | MarketCap: 98256000 | VWAP: N/A | Dividend: 0.288CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 5.384 | Ex-DivDate: 05/09/2018 | P/BRatio: N/A | Exchange: TSX | 
Currency Exchange International, Corp. | CXI | Volume: 3325 | Value: 30.65 | Open: 30.25 | High: 30.70 | SharesOut.: 6263427 | Beta: 1.252 | Prev.Close: 30.29 | Low: 30.25 | MarketCap: 191974038 | VWAP: 30.615313 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 35.600 | EPS: 0.07 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.498 | Exchange: TSX | 
Cymbria Corporation | CYB | Volume: 5091 | Value: 60.25 | Open: 60.51 | High: 60.75 | SharesOut.: 14504421 | Beta: 0.347 | Prev.Close: 60.50 | Low: 60.25 | MarketCap: 873891365 | VWAP: 60.383125 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 7.500 | EPS: 7.830000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.304 | Exchange: TSX | 
Evolve Active US Core Equity ETF | CAPS | Volume: 2600 | Value: 22.27 | Open: 22.27 | High: 22.27 | SharesOut.: 175000 | Beta: 0.723 | Prev.Close: 22.62 | Low: 22.27 | MarketCap: 3897250 | VWAP: 22.27 | Dividend: 0.015CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 0.808 | Ex-DivDate: 06/21/2018 | P/BRatio: N/A | Exchange: TSX | 
